Site,Treatment,Sample,Trees,Live,BAF,Live.PIPO,Dead.PIPO,Live.PSME,Dead.PSME,Live.PICO,Dead.PICO,Live.JUSC,Dead.JUSC,BA.all,BA.live
C16,Control,1,10,10,10,3,0,7,0,0,0,0,0,100,100
C16,Control,2,16,15,10,3,0,12,1,0,0,0,0,160,150
C16,Control,3,17,17,10,1,0,16,0,0,0,0,0,170,170
C16,Control,4,15,15,10,3,0,12,0,0,0,0,0,150,150
C16,Control,5,11,10,10,1,0,9,1,0,0,0,0,110,100
C16,Control,6,9,9,10,3,0,6,0,0,0,0,0,90,90
C16,Control,7,13,13,10,2,0,11,0,0,0,0,0,130,130
C16,Control,8,16,15,10,3,0,12,1,0,0,0,0,160,150
C16,Control,9,12,12,10,2,0,10,0,0,0,0,0,120,120
C16,Control,10,14,14,10,2,0,12,0,0,0,0,0,140,140
C17,Control,1,15,13,10,0,0,0,0,13,2,0,0,150,130
C17,Control,2,19,16,10,0,0,0,0,16,3,0,0,190,160
C17,Control,3,18,16,10,0,0,0,0,16,2,0,0,180,160
C17,Control,4,19,17,10,0,0,0,0,17,2,0,0,190,170
C17,Control,5,16,14,10,0,0,0,0,14,2,0,0,160,140
C17,Control,6,18,15,10,0,0,0,0,15,3,0,0,180,150
C17,Control,7,19,17,10,0,0,0,0,17,2,0,0,190,170
C17,Control,8,20,18,10,0,0,1,0,17,2,0,0,200,180
C17,Control,9,17,13,10,0,0,0,0,13,4,0,0,170,130
C17,Control,10,17,16,10,0,0,0,0,16,1,0,0,170,160
C18,Control,1,4,4,10,0,0,4,0,0,0,0,0,40,40
C18,Control,2,10,8,10,0,0,8,2,0,0,0,0,100,80
C18,Control,3,11,10,10,0,0,10,1,0,0,0,0,110,100
C18,Control,4,9,9,10,0,0,9,0,0,0,0,0,90,90
C18,Control,5,7,7,10,0,0,7,0,0,0,0,0,70,70
C18,Control,6,7,7,10,0,0,7,0,0,0,0,0,70,70
C18,Control,7,5,5,10,0,0,5,0,0,0,0,0,50,50
C18,Control,8,11,10,10,1,0,9,1,0,0,0,0,110,100
C18,Control,9,10,10,10,1,0,9,0,0,0,0,0,100,100
C18,Control,10,9,9,10,0,0,9,0,0,0,0,0,90,90
C19,Control,1,8,6,10,1,2,5,0,0,0,0,0,80,60
C19,Control,2,7,6,10,0,0,4,1,2,0,0,0,70,60
C19,Control,3,9,9,10,1,0,7,0,1,0,0,0,90,90
C19,Control,4,9,8,10,1,1,7,0,0,0,0,0,90,80
C19,Control,5,5,5,10,0,0,3,0,2,0,0,0,50,50
C19,Control,6,7,6,10,0,0,6,1,0,0,0,0,70,60
C19,Control,7,8,7,10,2,1,5,0,0,0,0,0,80,70
C19,Control,8,10,9,10,0,1,7,0,2,0,0,0,100,90
C19,Control,9,3,3,10,1,0,2,0,0,0,0,0,30,30
C19,Control,10,9,9,10,0,0,8,0,1,0,0,0,90,90
C20,Control,1,18,17,10,3,0,14,1,0,0,0,0,180,170
C20,Control,2,21,18,10,4,0,14,3,0,0,0,0,210,180
C20,Control,3,20,17,10,6,0,11,3,0,0,0,0,200,170
C20,Control,4,22,19,10,4,0,15,3,0,0,0,0,220,190
C20,Control,5,22,21,10,6,0,15,1,0,0,0,0,220,210
C20,Control,6,18,17,10,6,0,11,1,0,0,0,0,180,170
C20,Control,7,19,17,10,6,0,11,2,0,0,0,0,190,170
C20,Control,8,16,14,10,3,0,11,2,0,0,0,0,160,140
C20,Control,9,15,14,10,5,0,9,1,0,0,0,0,150,140
C20,Control,10,19,16,10,5,1,11,2,0,0,0,0,190,160
C21,Control,1,5,5,10,3,0,1,0,0,0,1,0,50,50
C21,Control,2,4,4,10,3,0,1,0,0,0,0,0,40,40
C21,Control,3,6,6,10,6,0,0,0,0,0,0,0,60,60
C21,Control,4,7,7,10,6,0,0,0,0,0,1,0,70,70
C21,Control,5,6,6,10,6,0,0,0,0,0,0,0,60,60
C21,Control,6,4,4,10,3,0,0,0,0,0,1,0,40,40
C21,Control,7,3,3,10,2,0,1,0,0,0,0,0,30,30
C21,Control,8,6,6,10,4,0,0,0,0,0,2,0,60,60
C21,Control,9,6,6,10,5,0,0,0,0,0,1,0,60,60
C21,Control,10,3,3,10,2,0,0,0,0,0,1,0,30,30
C22,Control,1,8,6,10,2,1,4,1,0,0,0,0,80,60
C22,Control,2,8,7,10,5,1,2,0,0,0,0,0,80,70
C22,Control,3,10,8,10,3,1,5,1,0,0,0,0,100,80
C22,Control,4,13,10,10,3,0,7,3,0,0,0,0,130,100
C22,Control,5,11,9,10,3,0,6,2,0,0,0,0,110,90
C22,Control,6,8,8,10,5,0,3,0,0,0,0,0,80,80
C22,Control,7,10,9,10,4,0,5,1,0,0,0,0,100,90
C22,Control,8,12,9,10,6,1,3,2,0,0,0,0,120,90
C22,Control,9,13,11,10,3,0,8,2,0,0,0,0,130,110
C22,Control,10,7,6,10,2,0,4,1,0,0,0,0,70,60
C23,Control,1,13,13,10,12,0,1,0,0,0,0,0,130,130
C23,Control,2,19,19,10,19,0,0,0,0,0,0,0,190,190
C23,Control,3,18,18,10,17,0,1,0,0,0,0,0,180,180
C23,Control,4,13,13,10,12,0,1,0,0,0,0,0,130,130
C23,Control,5,11,11,10,10,0,1,0,0,0,0,0,110,110
C23,Control,6,19,19,10,18,0,1,0,0,0,0,0,190,190
C23,Control,7,16,16,10,14,0,2,0,0,0,0,0,160,160
C23,Control,8,14,14,10,13,0,1,0,0,0,0,0,140,140
C23,Control,9,14,14,10,13,0,1,0,0,0,0,0,140,140
C23,Control,10,18,18,10,15,0,3,0,0,0,0,0,180,180
C24,Control,1,16,16,10,14,0,2,0,0,0,0,0,160,160
C24,Control,2,25,24,10,22,0,2,1,0,0,0,0,250,240
C24,Control,3,22,22,10,18,0,4,0,0,0,0,0,220,220
C24,Control,4,22,22,10,16,0,6,0,0,0,0,0,220,220
C24,Control,5,24,24,10,19,0,5,0,0,0,0,0,240,240
C24,Control,6,23,22,10,19,0,3,1,0,0,0,0,230,220
C24,Control,7,16,16,10,14,0,2,0,0,0,0,0,160,160
C24,Control,8,23,23,10,18,0,5,0,0,0,0,0,230,230
C24,Control,9,20,20,10,17,0,3,0,0,0,0,0,200,200
C24,Control,10,24,24,10,22,0,2,0,0,0,0,0,240,240
C25,Control,1,20,20,10,19,0,1,0,0,0,0,0,200,200
C25,Control,2,15,15,10,14,0,1,0,0,0,0,0,150,150
C25,Control,3,20,20,10,19,0,1,0,0,0,0,0,200,200
C25,Control,4,16,16,10,15,0,1,0,0,0,0,0,160,160
C25,Control,5,19,19,10,18,0,1,0,0,0,0,0,190,190
C25,Control,6,15,15,10,14,0,1,0,0,0,0,0,150,150
C25,Control,7,17,17,10,16,0,1,0,0,0,0,0,170,170
C25,Control,8,16,16,10,15,0,1,0,0,0,0,0,160,160
C25,Control,9,19,19,10,18,0,1,0,0,0,0,0,190,190
C25,Control,10,15,15,10,14,0,1,0,0,0,0,0,150,150
C26,Control,1,19,19,10,15,0,4,0,0,0,0,0,190,190
C26,Control,2,19,19,10,17,0,2,0,0,0,0,0,190,190
C26,Control,3,19,19,10,17,0,2,0,0,0,0,0,190,190
C26,Control,4,17,17,10,13,0,4,0,0,0,0,0,170,170
C26,Control,5,20,19,10,15,0,4,1,0,0,0,0,200,190
C26,Control,6,22,22,10,19,0,3,0,0,0,0,0,220,220
C26,Control,7,19,19,10,12,0,7,0,0,0,0,0,190,190
C26,Control,8,22,22,10,19,0,3,0,0,0,0,0,220,220
C26,Control,9,12,12,10,12,0,0,0,0,0,0,0,120,120
C26,Control,10,16,16,10,15,0,1,0,0,0,0,0,160,160
C27,Control,1,6,6,10,6,0,0,0,0,0,0,0,60,60
C27,Control,2,6,6,10,6,0,0,0,0,0,0,0,60,60
C27,Control,3,7,7,10,7,0,0,0,0,0,0,0,70,70
C27,Control,4,8,8,10,8,0,0,0,0,0,0,0,80,80
C27,Control,5,9,9,10,9,0,0,0,0,0,0,0,90,90
C27,Control,6,5,5,10,5,0,0,0,0,0,0,0,50,50
C27,Control,7,7,7,10,7,0,0,0,0,0,0,0,70,70
C27,Control,8,7,7,10,7,0,0,0,0,0,0,0,70,70
C27,Control,9,9,9,10,9,0,0,0,0,0,0,0,90,90
C27,Control,10,5,5,10,5,0,0,0,0,0,0,0,50,50
C28,Control,1,8,8,10,8,0,0,0,0,0,0,0,80,80
C28,Control,2,11,11,10,11,0,0,0,0,0,0,0,110,110
C28,Control,3,7,7,10,7,0,0,0,0,0,0,0,70,70
C28,Control,4,7,6,10,6,1,0,0,0,0,0,0,70,60
C28,Control,5,10,9,10,9,1,0,0,0,0,0,0,100,90
C28,Control,6,13,13,10,11,0,2,0,0,0,0,0,130,130
C28,Control,7,9,9,10,7,0,2,0,0,0,0,0,90,90
C28,Control,8,10,9,10,6,1,3,0,0,0,0,0,100,90
C28,Control,9,10,9,10,6,1,3,0,0,0,0,0,100,90
C28,Control,10,16,16,10,9,0,7,0,0,0,0,0,160,160
C29,Control,1,23,23,10,17,0,6,0,0,0,0,0,230,230
C29,Control,2,19,19,10,13,0,6,0,0,0,0,0,190,190
C29,Control,3,19,19,10,9,0,10,0,0,0,0,0,190,190
C29,Control,4,24,22,10,15,0,7,2,0,0,0,0,240,220
C29,Control,5,24,22,10,15,0,7,2,0,0,0,0,240,220
C29,Control,6,18,16,10,12,0,4,2,0,0,0,0,180,160
C29,Control,7,19,17,10,13,0,4,2,0,0,0,0,190,170
C29,Control,8,24,22,10,15,0,7,2,0,0,0,0,240,220
C29,Control,9,20,18,10,11,0,7,2,0,0,0,0,200,180
C29,Control,10,20,18,10,11,0,7,2,0,0,0,0,200,180
C30,Control,1,17,13,10,4,0,9,4,0,0,0,0,170,130
C30,Control,2,20,16,10,4,0,12,4,0,0,0,0,200,160
C30,Control,3,30,26,10,5,0,21,4,0,0,0,0,300,260
C30,Control,4,23,17,10,5,0,12,6,0,0,0,0,230,170
C30,Control,5,15,12,10,3,0,9,3,0,0,0,0,150,120
C30,Control,6,20,17,10,6,0,11,3,0,0,0,0,200,170
C30,Control,7,23,20,10,6,0,14,3,0,0,0,0,230,200
C30,Control,8,19,14,10,7,0,7,5,0,0,0,0,190,140
C30,Control,9,15,10,10,3,0,7,5,0,0,0,0,150,100
C30,Control,10,18,13,10,3,0,10,5,0,0,0,0,180,130
T1,Thinned ,1,5,5,10,4,0,1,0,0,0,0,0,50,50
T1,Thinned ,2,6,5,10,5,0,0,1,0,0,0,0,60,50
T1,Thinned ,3,4,4,10,4,0,0,0,0,0,0,0,40,40
T1,Thinned ,4,4,4,10,4,0,0,0,0,0,0,0,40,40
T1,Thinned ,5,4,4,10,3,0,0,0,1,0,0,0,40,40
T1,Thinned ,6,5,4,10,3,0,0,1,1,0,0,0,50,40
T1,Thinned ,7,7,7,10,5,0,1,0,1,0,0,0,70,70
T1,Thinned ,8,5,4,10,4,0,0,1,0,0,0,0,50,40
T1,Thinned ,9,3,3,10,3,0,0,0,0,0,0,0,30,30
T1,Thinned ,10,6,4,10,4,2,0,0,0,0,0,0,60,40
T10,Thinned ,1,6,6,10,2,0,4,0,0,0,0,0,60,60
T10,Thinned ,2,7,7,10,4,0,3,0,0,0,0,0,70,70
T10,Thinned ,3,6,6,10,1,0,5,0,0,0,0,0,60,60
T10,Thinned ,4,5,5,10,1,0,4,0,0,0,0,0,50,50
T10,Thinned ,5,5,7,10,2,0,5,0,0,0,0,0,50,70
T10,Thinned ,6,5,5,10,3,0,2,0,0,0,0,0,50,50
T10,Thinned ,7,6,6,10,1,0,5,0,0,0,0,0,60,60
T10,Thinned ,8,4,4,10,0,0,4,0,0,0,0,0,40,40
T10,Thinned ,9,4,4,10,2,0,2,0,0,0,0,0,40,40
T10,Thinned ,10,4,4,10,1,0,3,0,0,0,0,0,40,40
T11,Thinned ,1,2,2,10,1,0,1,0,0,0,0,0,20,20
T11,Thinned ,2,2,2,10,1,0,1,0,0,0,0,0,20,20
T11,Thinned ,3,2,2,10,1,0,1,0,0,0,0,0,20,20
T11,Thinned ,4,2,2,10,1,0,1,0,0,0,0,0,20,20
T11,Thinned ,5,2,2,10,1,0,1,0,0,0,0,0,20,20
T11,Thinned ,6,1,1,10,1,0,0,0,0,0,0,0,10,10
T11,Thinned ,7,2,2,10,1,0,1,0,0,0,0,0,20,20
T11,Thinned ,8,2,2,10,1,0,1,0,0,0,0,0,20,20
T11,Thinned ,9,2,2,10,1,0,1,0,0,0,0,0,20,20
T11,Thinned ,10,2,2,10,1,0,1,0,0,0,0,0,20,20
T12,Thinned ,1,9,9,10,4,0,5,0,0,0,0,0,90,90
T12,Thinned ,2,5,5,10,3,0,2,0,0,0,0,0,50,50
T12,Thinned ,3,9,9,10,5,0,4,0,0,0,0,0,90,90
T12,Thinned ,4,10,10,10,5,0,5,0,0,0,0,0,100,100
T12,Thinned ,5,5,5,10,3,0,2,0,0,0,0,0,50,50
T12,Thinned ,6,5,5,10,2,0,3,0,0,0,0,0,50,50
T12,Thinned ,7,8,7,10,4,0,3,1,0,0,0,0,80,70
T12,Thinned ,8,7,7,10,2,0,5,0,0,0,0,0,70,70
T12,Thinned ,9,5,5,10,1,0,4,0,0,0,0,0,50,50
T12,Thinned ,10,5,5,10,2,0,3,0,0,0,0,0,50,50
T13,Thinned ,1,7,7,10,7,0,0,0,0,0,0,0,70,70
T13,Thinned ,2,4,4,10,4,0,0,0,0,0,0,0,40,40
T13,Thinned ,3,4,4,10,4,0,0,0,0,0,0,0,40,40
T13,Thinned ,4,5,5,10,5,0,0,0,0,0,0,0,50,50
T13,Thinned ,5,7,7,10,7,0,0,0,0,0,0,0,70,70
T13,Thinned ,6,4,4,10,4,0,0,0,0,0,0,0,40,40
T13,Thinned ,7,3,3,10,3,0,0,0,0,0,0,0,30,30
T13,Thinned ,8,4,4,10,4,0,0,0,0,0,0,0,40,40
T13,Thinned ,9,7,7,10,7,0,0,0,0,0,0,0,70,70
T13,Thinned ,10,4,4,10,4,0,0,0,0,0,0,0,40,40
T14,Thinned ,1,5,5,10,5,0,0,0,0,0,0,0,50,50
T14,Thinned ,2,6,6,10,6,0,0,0,0,0,0,0,60,60
T14,Thinned ,3,5,5,10,5,0,0,0,0,0,0,0,50,50
T14,Thinned ,4,5,5,10,5,0,0,0,0,0,0,0,50,50
T14,Thinned ,5,5,5,10,5,0,0,0,0,0,0,0,50,50
T14,Thinned ,6,5,5,10,5,0,0,0,0,0,0,0,50,50
T14,Thinned ,7,4,4,10,4,0,0,0,0,0,0,0,40,40
T14,Thinned ,8,8,8,10,8,0,0,0,0,0,0,0,80,80
T14,Thinned ,9,4,4,10,4,0,0,0,0,0,0,0,40,40
T14,Thinned ,10,5,5,10,5,0,0,0,0,0,0,0,50,50
T15,Thinned ,1,4,3,10,0,1,3,0,0,0,0,0,40,30
T15,Thinned ,2,3,3,10,1,0,2,0,0,0,0,0,30,30
T15,Thinned ,3,3,3,10,0,0,3,0,0,0,0,0,30,30
T15,Thinned ,4,3,2,10,0,1,2,0,0,0,0,0,30,20
T15,Thinned ,5,3,2,10,0,1,2,0,0,0,0,0,30,20
T15,Thinned ,6,3,3,10,2,0,1,0,0,0,0,0,30,30
T15,Thinned ,7,3,3,10,0,0,3,0,0,0,0,0,30,30
T15,Thinned ,8,3,2,10,0,1,2,0,0,0,0,0,30,20
T15,Thinned ,9,3,3,10,0,0,3,0,0,0,0,0,30,30
T15,Thinned ,10,4,4,10,2,0,2,0,0,0,0,0,40,40
T2,Thinned ,1,3,3,10,3,0,0,0,0,0,0,0,30,30
T2,Thinned ,2,4,4,10,4,0,0,0,0,0,0,0,40,40
T2,Thinned ,3,3,3,10,3,0,0,0,0,0,0,0,30,30
T2,Thinned ,4,5,5,10,5,0,0,0,0,0,0,0,50,50
T2,Thinned ,5,4,4,10,3,0,1,0,0,0,0,0,40,40
T2,Thinned ,6,3,3,10,3,0,0,0,0,0,0,0,30,30
T2,Thinned ,7,3,3,10,2,0,1,0,0,0,0,0,30,30
T2,Thinned ,8,0,0,10,0,0,0,0,0,0,0,0,0,0
T2,Thinned ,9,0,0,10,0,0,0,0,0,0,0,0,0,0
T2,Thinned ,10,3,3,10,2,0,0,0,1,0,0,0,30,30
T3,Thinned ,1,7,7,10,4,0,3,0,0,0,0,0,70,70
T3,Thinned ,2,9,9,10,6,0,3,0,0,0,0,0,90,90
T3,Thinned ,3,9,8,10,6,0,2,0,0,0,0,0,80,80
T3,Thinned ,4,4,4,10,4,0,0,0,0,0,0,0,40,40
T3,Thinned ,5,3,3,10,2,0,1,0,0,0,0,0,30,30
T3,Thinned ,6,5,5,10,3,0,2,0,0,0,0,0,50,50
T3,Thinned ,7,8,8,10,6,0,2,0,0,0,0,0,80,80
T3,Thinned ,8,4,4,10,3,0,1,0,0,0,0,0,40,40
T3,Thinned ,9,3,2,10,2,0,0,1,0,0,0,0,30,20
T3,Thinned ,10,6,5,10,3,0,2,1,0,0,0,0,60,50
T4,Thinned ,1,5,4,10,1,1,1,0,2,0,0,0,50,40
T4,Thinned ,2,3,2,10,0,1,1,0,1,0,0,0,30,20
T4,Thinned ,3,7,1,10,0,6,0,0,1,0,0,0,70,10
T4,Thinned ,4,4,3,10,1,2,1,0,1,0,0,0,40,30
T4,Thinned ,5,3,1,10,0,1,1,1,0,0,0,0,30,10
T4,Thinned ,6,1,1,10,1,0,0,0,0,0,0,0,10,10
T4,Thinned ,7,2,2,10,2,0,0,0,0,0,0,0,20,20
T4,Thinned ,8,3,3,10,1,0,2,0,0,0,0,0,30,30
T4,Thinned ,9,4,2,10,1,2,1,0,0,0,0,0,40,20
T4,Thinned ,10,4,3,10,0,1,0,0,3,0,0,0,40,30
T5,Thinned ,1,4,1,10,1,0,0,3,0,0,0,0,40,10
T5,Thinned ,2,4,3,10,1,0,2,1,0,0,0,0,40,30
T5,Thinned ,3,4,3,10,1,0,2,1,0,0,0,0,40,30
T5,Thinned ,4,4,3,10,1,1,2,0,0,0,0,0,40,30
T5,Thinned ,5,2,1,10,0,1,1,0,0,0,0,0,20,10
T5,Thinned ,6,2,1,10,0,1,1,0,0,0,0,0,20,10
T5,Thinned ,7,3,2,10,1,0,1,1,0,0,0,0,30,20
T5,Thinned ,8,2,0,10,0,0,0,2,0,0,0,0,20,0
T5,Thinned ,9,2,1,10,1,0,0,1,0,0,0,0,20,10
T5,Thinned ,10,3,2,10,1,0,1,1,0,0,0,0,30,20
T6,Thinned ,1,5,3,10,2,2,1,0,0,0,0,0,50,30
T6,Thinned ,2,6,4,10,3,2,1,0,0,0,0,0,60,40
T6,Thinned ,3,5,4,10,4,1,0,0,0,0,0,0,50,40
T6,Thinned ,4,6,4,10,4,2,0,0,0,0,0,0,60,40
T6,Thinned ,5,6,5,10,4,0,1,1,0,0,0,0,60,50
T6,Thinned ,6,4,4,10,2,0,2,0,0,0,0,0,40,40
T6,Thinned ,7,2,2,10,1,0,1,0,0,0,0,0,20,20
T6,Thinned ,8,1,1,10,1,0,0,0,0,0,0,0,10,10
T6,Thinned ,9,2,1,10,1,1,0,0,0,0,0,0,20,10
T6,Thinned ,10,3,1,10,1,3,0,0,0,0,0,0,30,10
T7,Thinned ,1,3,3,10,3,0,0,0,0,0,0,0,30,30
T7,Thinned ,2,1,1,10,1,0,0,0,0,0,0,0,10,10
T7,Thinned ,3,2,2,10,2,0,0,0,0,0,0,0,20,20
T7,Thinned ,4,3,3,10,2,0,1,0,0,0,0,0,30,30
T7,Thinned ,5,4,4,10,3,0,1,0,0,0,0,0,40,40
T7,Thinned ,6,3,3,10,3,0,0,0,0,0,0,0,30,30
T7,Thinned ,7,1,1,10,1,0,0,0,0,0,0,0,10,10
T7,Thinned ,8,2,2,10,1,0,1,0,0,0,0,0,20,20
T7,Thinned ,9,3,3,10,1,0,2,0,0,0,0,0,30,30
T7,Thinned ,10,2,2,10,2,0,0,0,0,0,0,0,20,20
T8,Thinned ,1,3,3,10,2,0,1,0,0,0,0,0,30,30
T8,Thinned ,2,1,1,10,0,0,1,0,0,0,0,0,10,10
T8,Thinned ,3,1,1,10,0,0,1,0,0,0,0,0,10,10
T8,Thinned ,4,2,2,10,1,0,1,0,0,0,0,0,20,20
T8,Thinned ,5,6,6,10,5,0,1,0,0,0,0,0,60,60
T8,Thinned ,6,1,1,10,0,0,1,0,0,0,0,0,10,10
T8,Thinned ,7,2,2,10,1,0,1,0,0,0,0,0,20,20
T8,Thinned ,8,2,2,10,1,0,1,0,0,0,0,0,20,20
T8,Thinned ,9,6,6,10,5,0,1,0,0,0,0,0,60,60
T8,Thinned ,10,4,4,10,3,0,1,0,0,0,0,0,40,40
T9,Thinned ,1,5,5,10,4,0,1,0,0,0,0,0,50,50
T9,Thinned ,2,4,4,10,4,0,0,0,0,0,0,0,40,40
T9,Thinned ,3,2,2,10,2,0,0,0,0,0,0,0,20,20
T9,Thinned ,4,1,1,10,1,0,0,0,0,0,0,0,10,10
T9,Thinned ,5,4,4,10,3,0,1,0,0,0,0,0,40,40
T9,Thinned ,6,5,5,10,5,0,0,0,0,0,0,0,50,50
T9,Thinned ,7,0,0,10,0,0,0,0,0,0,0,0,0,0
T9,Thinned ,8,2,2,10,2,0,0,0,0,0,0,0,20,20
T9,Thinned ,9,3,3,10,2,0,1,0,0,0,0,0,30,30
T9,Thinned ,10,3,3,10,2,0,1,0,0,0,0,0,30,30
