Site,Treatment,Photo,Sky
C16                           ,Control,1,21.83
C16                           ,Control,2,18.71
C16                           ,Control,3,55.62
C16                           ,Control,4,33.72
C16                           ,Control,5,56.25
C16                           ,Control,6,87.95
C16                           ,Control,7,26.86
C16                           ,Control,8,69.16
C16                           ,Control,9,41.74
C16                           ,Control,10,29.06
C17                           ,Control,1,44.39
C17                           ,Control,2,37.55
C17                           ,Control,3,48.75
C17                           ,Control,4,52.19
C17                           ,Control,5,37.64
C17                           ,Control,6,44.53
C17                           ,Control,7,67.91
C17                           ,Control,8,33.59
C17                           ,Control,9,39.31
C17                           ,Control,10,42.35
C18                           ,Control,1,74.01
C18                           ,Control,2,65.86
C18                           ,Control,3,47.99
C18                           ,Control,4,66.23
C18                           ,Control,5,50.82
C18                           ,Control,6,56.19
C18                           ,Control,7,31.06
C18                           ,Control,8,49.95
C18                           ,Control,9,60.07
C18                           ,Control,10,41.12
C19                           ,Control,1,51.44
C19                           ,Control,2,100
C19                           ,Control,3,90.82
C19                           ,Control,4,94.37
C19                           ,Control,5,93.95
C19                           ,Control,6,48.11
C19                           ,Control,7,85.58
C19                           ,Control,8,99.15
C19                           ,Control,9,76.46
C19                           ,Control,10,30.28
C20                           ,Control,1,17.71
C20                           ,Control,2,23.54
C20                           ,Control,3,29.08
C20                           ,Control,4,66.36
C20                           ,Control,5,100
C20                           ,Control,6,58.36
C20                           ,Control,7,59
C20                           ,Control,8,36.97
C20                           ,Control,9,58.19
C20                           ,Control,10,32
C21                           ,Control,1,20.81
C21                           ,Control,2,24.08
C21                           ,Control,3,96.73
C21                           ,Control,4,91.82
C21                           ,Control,5,100
C21                           ,Control,6,76.51
C21                           ,Control,7,71.39
C21                           ,Control,8,11.94
C21                           ,Control,9,38.17
C21                           ,Control,10,93.8
C22                           ,Control,1,35.48
C22                           ,Control,2,73.53
C22                           ,Control,3,18.79
C22                           ,Control,4,76.24
C22                           ,Control,5,92.05
C22                           ,Control,6,36.12
C22                           ,Control,7,42.93
C22                           ,Control,8,78.67
C22                           ,Control,9,81.98
C22                           ,Control,10,58.17
C23                           ,Control,1,43.28
C23                           ,Control,2,67.57
C23                           ,Control,3,59.84
C23                           ,Control,4,69.11
C23                           ,Control,5,74.63
C23                           ,Control,6,57.84
C23                           ,Control,7,77.3
C23                           ,Control,8,17.02
C23                           ,Control,9,55.64
C23                           ,Control,10,41.02
C24                           ,Control,1,35.84
C24                           ,Control,2,67.01
C24                           ,Control,3,59.37
C24                           ,Control,4,27.24
C24                           ,Control,5,48.29
C24                           ,Control,6,50.16
C24                           ,Control,7,56.47
C24                           ,Control,8,19.08
C24                           ,Control,9,46.15
C24                           ,Control,10,61.09
C25                           ,Control,1,28.69
C25                           ,Control,2,65.52
C25                           ,Control,3,74.28
C25                           ,Control,4,61.9
C25                           ,Control,5,61
C25                           ,Control,6,78.98
C25                           ,Control,7,61.44
C25                           ,Control,8,52.22
C25                           ,Control,9,64.78
C25                           ,Control,10,76.47
C26                           ,Control,1,49.3
C26                           ,Control,2,49.44
C26                           ,Control,3,34.55
C26                           ,Control,4,64.73
C26                           ,Control,5,49.65
C26                           ,Control,6,54.89
C26                           ,Control,7,59.94
C26                           ,Control,8,46.49
C26                           ,Control,9,16.32
C26                           ,Control,10,63.46
C27                           ,Control,1,16.34
C27                           ,Control,2,80.83
C27                           ,Control,3,98.64
C27                           ,Control,4,96.76
C27                           ,Control,5,51.06
C27                           ,Control,6,100
C27                           ,Control,7,74.12
C27                           ,Control,8,100
C27                           ,Control,9,29.43
C27                           ,Control,10,99.98
C28                           ,Control,1,8.86
C28                           ,Control,2,39.77
C28                           ,Control,3,40.41
C28                           ,Control,4,44.09
C28                           ,Control,5,66.11
C28                           ,Control,6,83.79
C28                           ,Control,7,94.63
C28                           ,Control,8,79.91
C28                           ,Control,9,82.48
C28                           ,Control,10,55.02
C29                           ,Control,1,29.05
C29                           ,Control,2,63.89
C29                           ,Control,3,60.35
C29                           ,Control,4,62.09
C29                           ,Control,5,48.21
C29                           ,Control,6,52.53
C29                           ,Control,7,37.12
C29                           ,Control,8,52.2
C29                           ,Control,9,65.14
C29                           ,Control,10,43.76
C30                           ,Control,1,56.54
C30                           ,Control,2,60.4
C30                           ,Control,3,43.01
C30                           ,Control,4,48.44
C30                           ,Control,5,83.66
C30                           ,Control,6,56.62
C30                           ,Control,7,28.81
C30                           ,Control,8,24.16
C30                           ,Control,9,18.55
C30                           ,Control,10,25.24
T1                            ,Thinned,1,6.03
T1                            ,Thinned,2,59.78
T1                            ,Thinned,3,67.48
T1                            ,Thinned,4,50.1
T1                            ,Thinned,5,86.71
T1                            ,Thinned,6,89.24
T1                            ,Thinned,7,71.66
T1                            ,Thinned,8,80.37
T1                            ,Thinned,9,85.95
T1                            ,Thinned,10,100
T2                            ,Thinned,1,31.9
T2                            ,Thinned,2,57.08
T2                            ,Thinned,3,67.57
T2                            ,Thinned,4,89.83
T2                            ,Thinned,5,100
T2                            ,Thinned,6,83.6
T2                            ,Thinned,7,100
T2                            ,Thinned,8,54.7
T2                            ,Thinned,9,100
T2                            ,Thinned,10,100
T3                            ,Thinned,1,40.98
T3                            ,Thinned,2,65.98
T3                            ,Thinned,3,59.4
T3                            ,Thinned,4,63.74
T3                            ,Thinned,5,88.14
T3                            ,Thinned,6,69.11
T3                            ,Thinned,7,72.59
T3                            ,Thinned,8,77.05
T3                            ,Thinned,9,66.23
T3                            ,Thinned,10,94.55
T4                            ,Thinned,1,91.83
T4                            ,Thinned,2,78.57
T4                            ,Thinned,3,78.17
T4                            ,Thinned,4,96.86
T4                            ,Thinned,5,94.64
T4                            ,Thinned,6,87.36
T4                            ,Thinned,7,95.07
T4                            ,Thinned,8,97.78
T4                            ,Thinned,9,100
T4                            ,Thinned,10,95.23
T5                            ,Thinned,1,90.56
T5                            ,Thinned,2,32.29
T5                            ,Thinned,3,93.79
T5                            ,Thinned,4,79.27
T5                            ,Thinned,5,65.48
T5                            ,Thinned,6,89.39
T5                            ,Thinned,7,89.79
T5                            ,Thinned,8,98.03
T5                            ,Thinned,9,99.97
T5                            ,Thinned,10,50.81
T6                            ,Thinned,1,64.95
T6                            ,Thinned,2,78.82
T6                            ,Thinned,3,79.38
T6                            ,Thinned,4,67.4
T6                            ,Thinned,5,89.69
T6                            ,Thinned,6,81.31
T6                            ,Thinned,7,61.81
T6                            ,Thinned,8,90.78
T6                            ,Thinned,9,79.09
T6                            ,Thinned,10,87.62
T7                            ,Thinned,1,23.88
T7                            ,Thinned,2,86.35
T7                            ,Thinned,3,63.29
T7                            ,Thinned,4,96.37
T7                            ,Thinned,5,100
T7                            ,Thinned,6,96.19
T7                            ,Thinned,7,72.08
T7                            ,Thinned,8,91.76
T7                            ,Thinned,9,99.84
T7                            ,Thinned,10,95.5
T8                            ,Thinned,1,20.96
T8                            ,Thinned,2,85.68
T8                            ,Thinned,3,79.53
T8                            ,Thinned,4,83.56
T8                            ,Thinned,5,85.03
T8                            ,Thinned,6,100
T8                            ,Thinned,7,99.12
T8                            ,Thinned,8,99.42
T8                            ,Thinned,9,72.17
T8                            ,Thinned,10,99.81
T9                            ,Thinned,1,36.04
T9                            ,Thinned,2,98.95
T9                            ,Thinned,3,100
T9                            ,Thinned,4,100
T9                            ,Thinned,5,52.57
T9                            ,Thinned,6,97.78
T9                            ,Thinned,7,100
T9                            ,Thinned,8,100
T9                            ,Thinned,9,100
T9                            ,Thinned,10,100
T10                           ,Thinned,1,61.22
T10                           ,Thinned,2,46.53
T10                           ,Thinned,3,48.59
T10                           ,Thinned,4,63
T10                           ,Thinned,5,81.57
T10                           ,Thinned,6,35.3
T10                           ,Thinned,7,96.77
T10                           ,Thinned,8,99.96
T10                           ,Thinned,9,76.46
T10                           ,Thinned,10,78.41
T11                           ,Thinned,1,36.06
T11                           ,Thinned,2,29.89
T11                           ,Thinned,3,84.66
T11                           ,Thinned,4,72.84
T11                           ,Thinned,5,85.01
T11                           ,Thinned,6,68.1
T11                           ,Thinned,7,94.18
T11                           ,Thinned,8,92.01
T11                           ,Thinned,9,91.96
T11                           ,Thinned,10,99.52
T12                           ,Thinned,1,38.38
T12                           ,Thinned,2,68.3
T12                           ,Thinned,3,85.25
T12                           ,Thinned,4,98.14
T12                           ,Thinned,5,81.75
T12                           ,Thinned,6,82.38
T12                           ,Thinned,7,71.31
T12                           ,Thinned,8,75.12
T12                           ,Thinned,9,85.89
T12                           ,Thinned,10,72.07
T13                           ,Thinned,1,32.77
T13                           ,Thinned,2,94.86
T13                           ,Thinned,3,100
T13                           ,Thinned,4,76.64
T13                           ,Thinned,5,96.19
T13                           ,Thinned,6,66.53
T13                           ,Thinned,7,99.14
T13                           ,Thinned,8,83.54
T13                           ,Thinned,9,97.63
T13                           ,Thinned,10,77.97
T14                           ,Thinned,1,32.79
T14                           ,Thinned,2,86.58
T14                           ,Thinned,3,76.22
T14                           ,Thinned,4,66.11
T14                           ,Thinned,5,81.52
T14                           ,Thinned,6,62.8
T14                           ,Thinned,7,76.13
T14                           ,Thinned,8,86.14
T14                           ,Thinned,9,94.9
T14                           ,Thinned,10,98.15
T15                           ,Thinned,1,48.54
T15                           ,Thinned,2,68.21
T15                           ,Thinned,3,64.02
T15                           ,Thinned,4,42.29
T15                           ,Thinned,5,57.68
T15                           ,Thinned,6,56.85
T15                           ,Thinned,7,64.7
T15                           ,Thinned,8,24.91
T15                           ,Thinned,9,47.37
T15                           ,Thinned,10,58.6
